ID,GAME,YEAR,DEVELOPER,PUBLISHER,GENRE
99,Harvest Moon 64,1999,Toy Box Creative,Natsume,Simulation | Role Playing | Farming
100,Hercules: The Legendary Journeys,2000,Player 1,Titus Software,Action | Adventure
101,Hexen,1997,Software Creations,GT Interactive Software,Action | First-Person Shooter
102,"Hey You, Pikachu!",1998,Ambrella,Nintendo,Simulation | Life
103,Hot Wheels Turbo Racing,1999,Stormfront Studios,Electronic Arts,Racing | Stunt
104,Hybrid Heaven,1999,Konami,Konami,Action | Adventure
105,Hydro Thunder,2000,Eurocom,Midway,Racing | Speed boat
106,Iggy's Reckin' Balls,1998,Iguana Entertainment,Acclaim Entertainment,Racing | Battle
107,Indiana Jones and the Infernal Machine,2000,Factor 5,LucasArts,Adventure | Action | 3D Platformer
108,Indy Racing 2000,2000,Paradigm Entertainment,Infogrames,Racing | Automobile
109,International Superstar Soccer '98,1998,Konami,Konami,Sports | Soccer
110,International Superstar Soccer 2000,1999,Konami,Konami,Sports | Soccer
111,International Superstar Soccer 64,1996,Konami,Konami,Sports | Soccer
112,International Track & Field 2000,2000,Konami,Konami,Sports | Track and Field
